donor,arbi,zksync,total,exclude
0x4dbbe4a85c67f32a152396cf559ff5b375eaf833,0,0.01730545469,0.01730545469,
0x8e5d079aaee7874250442ffd0d0ddd2b394415d9,0,0.01733696145,0.01733696145,
0xb97b8c31bda8987e9812ae382e706f0bf5ee192e,0,0.01730021642,0.01730021642,
0x341dd84d9946eb203d09712d88737b2cf3f9d31e,0,0.0173037368,0.0173037368,
0x530b75254c9a568e19b027928e9451d953ffcdb8,0,0.01730886625,0.01730886625,
0x4a921432dd25dae53f03f8a07e16eb2990dbce69,0,0.01730109336,0.01730109336,
0x6a235e4908955bcd9756f84057a6256eb4d74bea,0,0,0,
0x49bef2317aafdbc665b3d31c93a327b7887c6692,0,0.017734749,0.017734749,
0xc00051fef16bf30770fb22cf93aced571c42da88,0,0.019206979,0.019206979,
0x0dfcdcc63a6ad6521cc9272a6ba4d400fe0db5cb,0,0.0017339963,0.0017339963,
0x1431cca93e9f479e52294afee36f15071f97b132,0,0.0173009169,0.0173009169,
0x11c1fc329c88f4e2f25c93034118c998dd2a28eb,0,0,0,
0xe41956118934e0e1ee65e38ce6d1fbfaca0f4c78,0,0.01730090133,0.01730090133,
0x85380a69530841aa9f737cc5a746981d16146f8f,0,1.73,1.73,
0x1c079381f0aa56c7b5d99ea1611904d4ac1664dc,0,0.017305363,0.017305363,
0x1aa47150d646a725248676b8d8088e6108e3ac88,0,0.0173009515,0.0173009515,
0xeb76f968e25d6808e5c288d8bcd50defa824d88a,0,0.01731038,0.01731038,
0x3d626d7955bbb9a871131e071c874db90815d74d,0,0.01734325,0.01734325,
0x586ebeb59441f20525b14d7661dc3a2fed7d57a9,0,1.038,1.038,
0xb9ecf4bdca4b9426e240e0b7ecf58522e8548856,0,0.0192068579,0.0192068579,
0x6f89cfa420da3600371adf22cdff96dea221974c,0,0.01733633,0.01733633,
0xd07cc20366336f324f1474a66d9efb578b4ce58e,0,0.0017306228,0.0017306228,
0x5e4dff98d4c5134e4405135384490caff24418c3,0,0.001730173,0.001730173,
0x2d578bb22b65d715073c5735cba51203a28c84d8,0,0.0190305536,0.0190305536,
0xa5c60a0cad6a40d03374a3619f49c761633d3406,0,0.0190646,0.0190646,
0x07b0a86ef8b5efa4d69907bc07646a033dc24c8e,0,0.017509676,0.017509676,
0x2f9ac7f69839da3e733fd2b7144f37700540fb21,0,0.0017646,0.0017646,
0x296a11187d3ccddeede5984aa7c22aff02e8348d,0,0.019206806,0.019206806,
0x98057d7aaa5bfffcc8152e2c98175739286b617f,0,0.0043423,0.0043423,
0x0ce849e451afc316e165b65ecb025acb60154826,0,0.01915629,0.01915629,
0xba40defaa08bf9d6d7ac2897734e32f3c40cd315,0,0.017308996,0.017308996,
0xe9980a0a8dd9bf90dffe4a80c36f9d4994517308,0,0.01732595,0.01732595,
0x339f33fa666c029f0385c57a324cbfe29c4cce7d,0,0.0175941,0.0175941,
0xac4a1bde5cb2ea9f7e783fa4d4e13d773b2482a7,0,0.01748684,0.01748684,
0x243c156192603d0167173cf5aea4fa3c9aa2acac,0,0.01920665376,0.01920665376,
0x160a09f87ad7753d4353d67ae21f4976770dd6d1,0,0.01738996,0.01738996,
0xe02ef29f0a70aa7c5d20227e4e716787150d103d,0,0.017512963,0.017512963,
0x23165a7adecb13c9f9786791a325060d6e1ca3b0,0,0.01749376,0.01749376,
0x1a5d2c67bb88cea62c37588fc37e547925e18a5a,0,0.01817538,0.01817538,
0x75c6f3db7a39dc4ac24d7de12acd4e075fa23bd8,0,0.01782073,0.01782073,
0x34405ca627fce4d3bbb38b53ac92ac4c23489125,0,0.0174765119,0.0174765119,
0x62cb2d505e789e30e8680d7f1eef9f6d60414ffc,0,0.01739688,0.01739688,
0x89170119a8a68b4ab9d05a07abaf07330d6e7053,0,0.01769098,0.01769098,
0x1b42a1516303942a95700c4812974fbed28a42e7,0,0.0177325,0.0177325,
0x7d908858e532cb8420e8dadcb9c790972bbca8d0,0,0.01766849,0.01766849,
0xd72b8fb45d77f0819f87479ae4a4a31806ccd87c,0,0.01905076,0.01905076,
0x5c9ce4d2071e68f6b993c0108ab05aabf50d0b47,0,0.01747473,0.01747473,
0x2164e2b3263c46e38745951108be0c2ce65fb794,0,0.01734325,0.01734325,
0x450742acddc1043f7e103aebbb3c5bf808640f78,0,0.0174903,0.0174903,
0x2ec7de8eff7077ebc003d91323186a3815a9c92a,0,0.01908709,0.01908709,
0xef0c82ffb81e0e143dd0fb8784eb4132c9e79642,0,0.01920646,0.01920646,
0x70c660747b4ad5bf21b9eaae4b9ceced50255a23,0,0.01906633,0.01906633,
0x9199c1a1fe1c32d43d31720ca76d0f036b29b131,0,0.017493933,0.017493933,
0xc0d72cae04f3b52227bfb0b591ef9bb0b4228d33,0,0.01750933,0.01750933,
0x3abfb1c205d15cc955710a8835f05f5364cc90d6,0,0.01749376,0.01749376,
0xc2275c9dac03cfd855a7daac4a8cbbecca9e9358,0,0.017473,0.017473,
0x9e723b1ed109d07e9846a2ef2717f2281b1e5649,0,0.0173,0.0173,
